GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	505L1	ISO8	1/28/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	2/5/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	2/14/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	2/18/2013	TP	5	A1	1	3	3
FF	505L1	ISO8	2/25/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	3/4/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	3/15/2013	TP	5	A1	1	3	0
FF	505L1	ISO8	3/27/2013	TP	5	A1	1	3	0
FF	505L2	ISO8	1/2/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	1/7/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	1/17/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	1/22/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	1/28/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	2/5/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	2/14/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	2/18/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	2/25/2013	TP	0.5	A1	1	1	4
FF	505L2	ISO8	3/4/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	3/15/2013	TP	0.5	A1	1	1	2
FF	505L2	ISO8	3/27/2013	TP	0.5	A1	1	1	0
FF	505L2	ISO8	1/2/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	1/7/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	1/17/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	1/22/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	1/28/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	2/5/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	2/14/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	2/18/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	2/25/2013	TP	5	A1	1	1	3
FF	505L2	ISO8	3/4/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	3/15/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	3/27/2013	TP	5	A1	1	1	0
FF	505L2	ISO8	1/2/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	1/7/2013	TP	0.5	A1	1	2	1
FF	505L2	ISO8	1/17/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	1/22/2013	TP	0.5	A1	1	2	1
FF	505L2	ISO8	1/28/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	2/5/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	2/14/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	2/18/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	2/25/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	3/4/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	3/15/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	3/27/2013	TP	0.5	A1	1	2	0
FF	505L2	ISO8	1/2/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	1/7/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	1/17/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	1/22/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	1/28/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	2/5/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	2/14/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	2/18/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	2/25/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	3/4/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	3/15/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	3/27/2013	TP	5	A1	1	2	0
FF	505L2	ISO8	1/2/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	1/7/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	1/17/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	1/22/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	1/28/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	2/5/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	2/14/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	2/18/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	2/25/2013	TP	0.5	A1	1	3	5
FF	505L2	ISO8	3/4/2013	TP	0.5	A1	1	3	0
FF	505L2	ISO8	3/15/2013	TP	0.5	A1	1	3	1
FF	505L2	ISO8	3/27/2013	TP	0.5	A1	1	3	1
FF	505L2	ISO8	1/2/2013	TP	5	A1	1	3	0
