Rm Date	TYMC
147B	40050	0
130	40051	0
136	40051	0
136	40051	0
137	40051	0
137	40051	0
160	40051	0
160	40051	0
160	40051	0
161	40051	0
161	40051	0
161	40051	0
161	40051	0
165	40052	0
165	40052	0
165	40052	0
165	40052	0
165	40052	0
130	40053	0
141	40053	0
141	40053	1
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40053	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
164	40056	0
130	40057	0
141	40057	0
141	40057	0
136	40058	0
136	40058	0
136	40058	0
136	40058	0
137	40058	0
137	40058	0
137	40058	0
137	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
164	40058	0
130	40059	0
130	40059	0
136	40059	0
136	40059	0
136	40059	0
136	40059	0
137	40059	0
137	40059	0
137	40059	0
137	40059	0
160	40059	0
160	40059	0
160	40059	0
160	40059	0
160	40059	0
160	40059	0
161	40059	0
161	40059	0
161	40059	0
161	40059	0
161	40059	0
161	40059	0
161	40059	0
161	40059	0
162	40059	0
162	40059	0
162	40059	0
162	40059	0
162	40059	0
162	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
163	40059	0
119	40060	1
119	40060	0
119	40060	0
119	40060	2
150	40060	0
150	40060	0
150	40060	0
150	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
164	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
165	40060	0
147B	40060	0
147B	40060	0
147B	40060	0
147B	40060	0
141	40064	0
141	40064	0
141	40064	0
141	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
164	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
165	40064	0
130	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
165	40065	0
130	40066	0
136	40066	0
136	40066	0
137	40066	0
137	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
164	40066	0
165	40066	0
165	40066	0
165	40066	0
165	40066	0
165	40066	0
147B	40066	0
147B	40066	2
119	40067	0
119	40067	0
138	40067	0
138	40067	0
139	40067	0
139	40067	0
140	40067	0
140	40067	0
150	40067	0
150	40067	0
151	40067	0
151	40067	0
160	40067	0
160	40067	0
160	40067	0
161	40067	0
161	40067	0
161	40067	0
161	40067	0
162	40067	0
162	40067	0
162	40067	0
163	40067	0
163	40067	0
163	40067	0
163	40067	0
163	40067	0
163	40067	0
147B	40067	0
147B	40067	0
119	40070	1
119	40070	0
138	40070	0
138	40070	0
139	40070	0
139	40070	0
140	40070	0
140	40070	0
150	40070	0
150	40070	0
151	40070	0
151	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
164	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
165	40070	0
147B	40070	0
147B	40070	0
141	40071	0
141	40071	0
130	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
164	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
165	40072	0
136	40073	0
136	40073	0
137	40073	0
137	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
164	40073	0
130	40074	0
160	40074	0
160	40074	0
160	40074	0
161	40074	0
161	40074	0
161	40074	0
161	40074	0
162	40074	0
162	40074	0
162	40074	0
163	40074	0
163	40074	0
163	40074	0
163	40074	0
163	40074	0
163	40074	0
147B	40074	0
147B	40074	0
160	40077	0
160	40077	0
160	40077	0
161	40077	0
161	40077	0
161	40077	0
161	40077	0
162	40077	0
162	40077	0
162	40077	0
163	40077	0
163	40077	0
163	40077	0
163	40077	1
163	40077	0
163	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
164	40077	0
119	40078	0
119	40078	0
138	40078	0
138	40078	0
139	40078	0
139	40078	0
140	40078	0
140	40078	0
150	40078	0
150	40078	0
151	40078	0
151	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
165	40078	0
147B	40078	0
147B	40078	0
130	40079	0
141	40079	0
141	40079	0
130	40080	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
164	40081	0
136	40084	0
136	40084	0
137	40084	0
137	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
164	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
165	40084	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
164	40085	0
119	40086	0
119	40086	0
138	40086	0
138	40086	0
139	40086	0
139	40086	0
140	40086	0
140	40086	0
150	40086	0
150	40086	0
151	40086	0
151	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
164	40086	0
130	40087	0
141	40087	0
141	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
164	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
165	40087	0
147B	40087	0
147B	40087	0
130	40088	0
160	40088	0
160	40088	0
160	40088	0
161	40088	0
161	40088	0
161	40088	0
161	40088	0
162	40088	0
162	40088	0
162	40088	0
163	40088	0
163	40088	0
163	40088	0
163	40088	0
163	40088	0
163	40088	0
165	40088	0
