Rm	Date	Read1	Read2	Read3	MEAN
129	40021	24	22	20	22
129	40021	25	23	7	18
129	40021	0	0	1	0
131	40021	60	33	10	34
131	40021	37	36	30	34
131	40021	41	19	36	32
131	40021	39	48	21	36
131	40021	119	1637	149	635
131	40021	29	7	50	29
134	40021	69	27	20	39
135	40021	8	3	8	6
135	40021	9	17	86	37
135	40021	13	3	7	8
152	40021	111	46	19	59
156	40021	1	0	1	1
156	40021	2	0	3	2
165	40021	0	0	0	0
165	40021	0	0	0	0
147A	40021	48	195	149	131
147A	40021	84	81	217	127
126	40022	12	26	1	13
127	40022	44	23	35	34
127	40022	5	2	1	3
127	40022	0	11	63	25
134	40022	35	94	23	51
135	40022	22	47	24	31
135	40022	35	23	19	26
135	40022	54	53	35	47
143	40022	2356	197	42	865
145	40022	87	11	47	48
152	40022	48	32	44	41
156	40022	9	32	132	58
156	40022	22	254	217	164
157	40022	63	145	240	149
159	40022	1	2	2	2
159	40022	70	22	42	45
131	40023	67	17	24	36
131	40023	55	34	43	44
131	40023	21	9	5	12
131	40023	83	964	506	518
131	40023	59	34	22	38
131	40023	11	2	9	7
132	40023	116	65	58	80
133	40023	27	34	54	38
133	40023	87	80	88	85
133	40023	80	31	13	41
153	40023	482	216	101	266
153	40023	188	84	98	123
153	40023	204	153	97	151
154	40023	159	43	30	77
128	40024	110	63	40	71
129	40024	106	29	75	70
129	40024	768	253	45	355
129	40024	15	5	4	8
143	40024	519	155	75	250
145	40024	750	390	393	511
164	40024	0	0	0	0
131	40025	42	40	51	44
131	40025	24	46	44	38
131	40025	1	2	1	1
132	40025	269	434	261	321
133	40025	9	14	28	17
133	40025	29	22	69	40
133	40025	20	13	5	13
153	40025	405	101	2555	1020
153	40025	38	40	28	35
153	40025	76	30	41	49
154	40025	340	212	96	216
126	40028	86	87	517	230
127	40028	46	70	52	56
127	40028	818	449	307	525
127	40028	7	6	2	5
132	40028	28	17	50	32
133	40028	25	45	147	72
133	40028	24	34	24	27
133	40028	28	4	10	14
143	40028	15	4	15	11
145	40028	353	118	25	165
153	40028	34	9	4	16
153	40028	69	26	38	44
153	40028	23	9	3	12
154	40028	222	210	109	180
157	40028	28	19	11	19
159	40028	2	4	0	2
159	40028	0	0	0	0
128	40029	295	137	71	168
129	40029	76	98	1085	420
129	40029	2873	696	213	1261
129	40029	34	39	37	37
131	40029	42	14	40	32
131	40029	19	14	9	14
131	40029	13	19	44	25
134	40029	1594	424	235	751
135	40029	33	18	34	28
135	40029	46	10	11	22
135	40029	21	20	38	26
152	40029	375	163	123	220
156	40029	18	11	12	14
156	40029	37	44	24	35
164	40029	0	0	0	0
164	40029	0	0	0	0
147A	40029	14	9	3	9
147A	40029	26	5	28	20
134	40030	38	32	16	29
135	40030	168	230	104	167
135	40030	41	50	46	46
135	40030	158	201	166	175
143	40030	52	10	17	26
145	40030	479	101	45	208
152	40030	103	78	53	78
156	40030	23	15	2	13
156	40030	41	14	5	20
157	40030	44	13	16	24
