Rm Date	TAMC
164	39966	0
164	39966	0
164	39966	0
164	39966	0
164	39966	1
164	39966	0
164	39966	2
164	39966	0
147A	39966	0
147A	39966	0
147A	39966	0
147A	39966	0
147A	39966	0
147A	39966	0
147A	39966	1
147A	39966	0
147A	39966	0
147A	39966	2
128	39967	6
129	39967	0
129	39967	0
129	39967	0
129	39967	0
131	39967	1
131	39967	0
131	39967	3
133	39967	1
133	39967	0
153	39967	1
154	39967	0
154	39967	0
154	39967	1
164	39967	0
164	39967	0
164	39967	0
164	39967	0
164	39967	0
164	39967	0
164	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
147A	39967	0
126	39968	0
127	39968	0
127	39968	0
127	39968	0
133	39968	0
133	39968	0
143	39968	0
145	39968	0
145	39968	0
145	39968	0
153	39968	1
153	39968	0
153	39968	0
157	39968	2
157	39968	0
157	39968	1
159	39968	0
159	39968	1
159	39968	0
159	39968	0
159	39968	0
159	39968	0
159	39968	0
159	39968	0
164	39968	0
164	39968	0
164	39968	0
164	39968	0
164	39968	0
164	39968	0
164	39968	0
164	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
147A	39968	0
126	39969	0
127	39969	0
127	39969	0
127	39969	0
134	39969	0
135	39969	4
135	39969	0
135	39969	0
135	39969	0
156	39969	0
157	39969	0
157	39969	0
157	39969	0
159	39969	0
159	39969	0
159	39969	0
159	39969	1
159	39969	0
159	39969	0
159	39969	0
159	39969	0
164	39969	0
164	39969	0
164	39969	0
164	39969	0
164	39969	0
164	39969	0
164	39969	0
164	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
147A	39969	0
143	39970	0
126	39972	0
127	39972	0
127	39972	0
127	39972	0
134	39972	0
135	39972	0
135	39972	0
135	39972	0
135	39972	0
145	39972	0
145	39972	0
145	39972	0
152	39972	1
156	39972	0
156	39972	0
157	39972	0
157	39972	0
157	39972	0
159	39972	0
159	39972	1
159	39972	0
159	39972	0
159	39972	0
159	39972	0
159	39972	0
159	39972	0
164	39972	0
164	39972	0
164	39972	0
164	39972	0
164	39972	0
164	39972	0
164	39972	1
164	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	1
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
147A	39972	0
128	39973	0
129	39973	0
129	39973	0
129	39973	0
129	39973	0
131	39973	0
131	39973	0
131	39973	0
134	39973	0
135	39973	0
135	39973	0
135	39973	0
135	39973	0
152	39973	0
156	39973	0
156	39973	0
164	39973	0
164	39973	0
164	39973	0
164	39973	0
147A	39973	0
147A	39973	0
147A	39973	0
147A	39973	0
147A	39973	0
143	39974	0
128	39975	0
129	39975	0
129	39975	0
129	39975	0
129	39975	2
131	39975	0
131	39975	0
131	39975	0
133	39975	0
133	39975	0
153	39975	0
153	39975	0
153	39975	0
126	39976	0
127	39976	2
127	39976	0
127	39976	4
133	39976	0
133	39976	0
153	39976	0
153	39976	0
154	39976	0
157	39976	0
157	39976	0
157	39976	0
159	39976	0
159	39976	0
159	39976	0
159	39976	0
159	39976	0
159	39976	0
159	39976	0
159	39976	1
164	39976	0
164	39976	0
164	39976	0
164	39976	0
164	39976	0
164	39976	0
164	39976	0
164	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	0
147A	39976	2
147A	39976	0
143	39977	0
126	39979	1
127	39979	0
127	39979	0
127	39979	0
133	39979	0
133	39979	0
153	39979	0
153	39979	0
153	39979	0
153	39979	0
154	39979	2
157	39979	0
157	39979	0
157	39979	0
159	39979	0
159	39979	0
159	39979	0
159	39979	0
159	39979	0
159	39979	0
159	39979	0
159	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	2
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
147A	39979	0
164T	39979	0
164T	39979	0
164T	39979	0
164T	39979	0
164T	39979	0
164T	39979	0
164T	39979	2
164T	39979	0
134	39980	0
135	39980	0
135	39980	0
135	39980	0
135	39980	0
157	39980	0
157	39980	0
157	39980	4
158	39980	0
158	39980	0
158	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
164	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
147A	39980	0
126	39981	0
127	39981	0
127	39981	0
127	39981	3
128	39981	1
129	39981	1
129	39981	0
129	39981	0
129	39981	2
131	39981	0
131	39981	0
131	39981	0
134	39981	6
135	39981	0
135	39981	0
135	39981	0
135	39981	0
143	39981	0
145	39981	0
145	39981	0
145	39981	0
152	39981	4
156	39981	0
156	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
164	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
147A	39981	0
152	39982	0
156	39982	0
156	39982	0
147A	39982	0
147A	39982	0
147A	39982	0
147A	39982	0
147A	39982	0
164T	39982	0
164T	39982	0
164T	39982	0
128	39983	0
129	39983	0
129	39983	0
129	39983	0
129	39983	0
131	39983	0
131	39983	0
131	39983	0
133	39983	0
133	39983	0
153	39983	0
154	39983	0
154	39983	0
154	39983	1
143	39984	0
145	39984	0
145	39984	0
145	39984	1
159	39984	0
159	39984	1
159	39984	0
159	39984	0
159	39984	0
159	39984	0
159	39984	0
159	39984	0
126	39986	2
127	39986	0
127	39986	0
127	39986	1
128	39986	2
128	39986	2
129	39986	0
129	39986	0
129	39986	0
129	39986	1
129	39986	0
129	39986	0
129	39986	0
129	39986	1
132	39986	1
133	39986	0
133	39986	0
133	39986	0
133	39986	0
133	39986	0
143	39986	0
153	39986	0
153	39986	0
153	39986	0
153	39986	0
153	39986	0
154	39986	0
154	39986	0
154	39986	0
154	39986	0
154	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	0
147A	39986	1
147A	39986	1
147A	39986	0
147A	39986	2
164T	39986	0
164T	39986	0
164T	39986	0
164T	39986	0
164T	39986	0
164T	39986	0
164T	39986	0
164T	39986	0
131	39987	0
131	39987	0
131	39987	0
131	39987	0
131	39987	0
131	39987	0
133	39987	0
133	39987	0
143	39987	0
145	39987	0
145	39987	0
145	39987	0
153	39987	0
153	39987	0
153	39987	0
153	39987	0
153	39987	0
153	39987	0
154	39987	0
154	39987	0
157	39987	0
157	39987	0
157	39987	0
157	39987	0
157	39987	0
157	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
159	39987	0
