Rm	Date	part_0.5
142	40046	113
142	40046	60
143	40046	2102
144	40046	1187
144	40046	1219
144	40046	208
156	40046	37
158	40046	261
135	40049	0
147	40049	2056
147	40049	2284
147	40049	1053
147	40049	1404
156	40049	0
158	40049	144
129	40050	0
146	40050	3156
146	40050	2503
146	40050	161
146	40050	3262
146	40050	6072
146	40050	417
133	40051	10
142	40051	190
142	40051	245
144	40051	179
144	40051	477
144	40051	133
146	40051	1240
146	40051	643
146	40051	389
146	40051	567
146	40051	757
146	40051	28
153	40051	2
133	40052	3
142	40052	1096
142	40052	258
142	40052	262
142	40052	263
143	40052	3544
144	40052	1546
144	40052	612
144	40052	1079
153	40052	0
158	40052	89
135	40053	0
143	40053	298
156	40053	1
135	40056	0
142	40056	3
142	40056	57
143	40056	1483
144	40056	340
144	40056	1689
144	40056	2841
146	40056	1395
146	40056	530
146	40056	869
146	40056	904
146	40056	100
146	40056	5
156	40056	7
158	40056	499
135	40057	0
142	40057	117
142	40057	603
142	40057	12
144	40057	7469
144	40057	8478
144	40057	9326
146	40057	37
147	40057	31
147	40057	1460
147	40057	243
147	40057	3808
147	40057	5220
156	40057	0
129	40058	0
133	40058	139
146	40058	297
146	40058	155
146	40058	12
146	40058	110
146	40058	4
146	40058	89
158	40058	989
133	40059	0
146	40059	780
146	40059	214
146	40059	444
146	40059	207
146	40059	365
146	40059	1
153	40059	0
129	40060	1
143	40060	237
146	40060	419
146	40060	200
146	40060	65
146	40060	902
146	40060	483
146	40060	27
147	40060	831
147	40060	531
147	40060	1791
147	40060	1594
153	40060	41
135	40064	0
146	40064	755
146	40064	636
146	40064	279
146	40064	206
146	40064	94
146	40064	157
147	40064	638
147	40064	554
147	40064	416
147	40064	311
156	40064	0
129	40065	0
135	40065	0
142	40065	1124
142	40065	727
142	40065	284
142	40065	312
143	40065	1727
144	40065	7008
144	40065	9021
144	40065	5014
146	40065	9527
146	40065	9090
146	40065	700
146	40065	5809
146	40065	5791
146	40065	1131
156	40065	0
158	40065	421
133	40066	0
146	40066	3614
146	40066	1202
146	40066	2589
146	40066	351
146	40066	400
146	40066	20
147	40066	371
147	40066	90
147	40066	360
147	40066	103
158	40066	76
129	40067	0
133	40067	0
142	40067	1
142	40067	8
143	40067	728
144	40067	1269
144	40067	1309
144	40067	179
147	40067	2179
147	40067	897
147	40067	2310
147	40067	2914
147	40068	1749
147	40068	1673
147	40068	1363
147	40068	772
129	40070	0
142	40070	189
142	40070	286
143	40070	2309
144	40070	465
144	40070	641
144	40070	324
146	40070	219
146	40070	66
146	40070	237
146	40070	42
146	40070	52
146	40070	18
153	40070	2
135	40071	0
143	40071	4528
144	40071	6623
144	40071	14784
144	40071	6015
147	40071	4341
147	40071	1152
147	40071	1165
147	40071	3255
156	40071	3
135	40072	0
146	40072	257
146	40072	156
146	40072	7
146	40072	276
146	40072	351
146	40072	17
147	40072	1738
147	40072	1071
147	40072	1169
147	40072	569
156	40072	0
158	40072	305
129	40073	0
133	40073	0
146	40073	1320
146	40073	1439
146	40073	448
146	40073	1863
146	40073	3015
146	40073	34
147	40073	918
147	40073	714
147	40073	23
147	40073	35
158	40073	1747
133	40074	0
146	40074	928
146	40074	562
146	40074	410
146	40074	1574
146	40074	1717
146	40074	539
153	40074	0
133	40077	0
146	40077	446
146	40077	627
146	40077	645
146	40077	1069
146	40077	875
146	40077	138
153	40077	0
153	40077	0
156	40077	0
129	40078	0
142	40078	329
142	40078	221
142	40078	433
142	40078	690
143	40078	542
144	40078	1350
144	40078	2582
144	40078	20582
147	40078	2368
147	40078	7114
153	40078	0
135	40079	0
142	40079	20
142	40079	24
143	40079	951
144	40079	828
144	40079	11
144	40079	1102
147	40079	123
147	40079	122
147	40079	402
147	40079	102
153	40079	0
135	40080	0
146	40080	4555
146	40080	3228
146	40080	583
146	40080	574
146	40080	1114
146	40080	2
156	40080	7
158	40080	2883
146	40081	584
146	40081	851
146	40081	105
146	40081	725
146	40081	458
146	40081	9
129	40084	0
133	40084	0
146	40084	4147
146	40084	3429
146	40084	151
146	40084	531
146	40084	673
146	40084	196
158	40084	243
146	40085	1988
146	40085	2195
146	40085	227
146	40085	3409
146	40085	531
146	40085	6060
129	40086	0
142	40086	54
142	40086	64
142	40086	156
142	40086	93
147	40086	909
147	40086	957
147	40086	184
147	40086	56
153	40086	0
135	40087	0
142	40087	61
142	40087	64
143	40087	98
144	40087	345
144	40087	235
144	40087	468
147	40087	1804
147	40087	609
147	40087	1677
147	40087	899
153	40087	10
133	40088	0
135	40088	0
143	40088	924
144	40088	381
144	40088	196
144	40088	35
158	40088	349
156	40089	1
135	40091	0
147	40091	845
147	40091	1500
147	40091	622
147	40091	1196
156	40091	0
158	40091	465
129	40092	0
133	40092	0
158	40092	92
133	40093	0
147	40093	1645
147	40093	747
147	40093	1818
147	40093	837
156	40093	0
129	40094	0
142	40094	27
142	40094	25
143	40094	366
144	40094	843
144	40094	6089
144	40094	1252
146	40094	390
146	40094	137
146	40094	71
147	40094	757
147	40094	831
147	40094	712
147	40094	181
153	40094	0
135	40095	0
142	40095	25
142	40095	2
142	40095	3
143	40095	5894
144	40095	5969
144	40095	465
144	40095	4757
146	40095	325
146	40095	155
146	40095	290
147	40095	3455
147	40095	2322
147	40095	53
147	40095	38
153	40095	0
135	40098	0
153	40098	0
135	40099	0
147	40099	471
147	40099	793
147	40099	1225
147	40099	2270
156	40099	4
158	40099	1239
129	40100	0
133	40100	0
142	40100	700
142	40100	163
143	40100	1025
144	40100	5026
144	40100	11918
144	40100	8069
146	40100	13901
146	40100	5757
146	40100	2355
158	40100	371
133	40101	0
147	40101	1593
147	40101	777
147	40101	1225
147	40101	1244
156	40101	0
129	40102	0
142	40102	16
143	40102	133
144	40102	263
144	40102	469
144	40102	654
146	40102	36
146	40102	91
146	40102	0
153	40102	0
129	40105	0
153	40105	0
135	40106	0
142	40106	73
142	40106	43
143	40106	9096
144	40106	2887
144	40106	7366
144	40106	5488
146	40106	5357
146	40106	6559
146	40106	754
146	40106	3856
146	40106	1927
146	40106	167
153	40106	0
135	40107	0
143	40107	6976
144	40107	710
144	40107	1849
144	40107	401
146	40107	871
146	40107	634
146	40107	1340
146	40107	1168
146	40107	1148
146	40107	300
156	40107	0
158	40107	91
133	40108	0
147	40108	313
147	40108	188
147	40108	503
147	40108	495
156	40108	0
158	40108	789
127	40109	0
129	40109	0
133	40109	0
127	40112	0
133	40112	0
147	40112	1319
147	40112	387
147	40112	2209
147	40112	1417
156	40112	1
129	40113	0
142	40113	2
142	40113	14
143	40113	152
144	40113	624
144	40113	350
144	40113	379
146	40113	726
146	40113	262
146	40113	141
146	40113	309
146	40113	260
146	40113	419
153	40113	0
135	40114	0
142	40114	121
142	40114	10
142	40114	810
142	40114	110
156	40114	0
143	40115	2852
144	40115	2570
144	40115	8497
144	40115	2112
146	40115	309
146	40115	939
146	40115	467
147	40115	635
147	40115	1430
147	40115	888
147	40115	1425
129	40116	11
133	40116	0
158	40116	805
133	40119	0
158	40119	826
129	40120	0
131	40120	267
147	40120	2256
147	40120	2652
147	40120	1291
147	40120	3070
153	40120	0
147	40121	600
147	40121	412
147	40121	1039
147	40121	1128
156	40121	0
133	40122	0
135	40122	0
142	40122	8
142	40122	12
143	40122	286
144	40122	26
144	40122	263
144	40122	230
146	40122	96
146	40122	28
146	40122	54
147	40122	553
147	40122	631
147	40122	814
147	40122	1077
156	40122	0
129	40123	12
135	40123	0
142	40123	4
142	40123	16
143	40123	123
144	40123	112
144	40123	410
144	40123	74
146	40123	20
146	40123	1
146	40123	0
153	40123	4
158	40123	460
129	40126	0
158	40126	257
133	40127	0
143	40127	5845
144	40127	4316
144	40127	11071
144	40127	2735
146	40127	6222
