Rm	Date	Read1	Read2	Read3	Mean
164	07/09/09	0	0	0	0
164	07/09/09	0	0	0	0
147A	07/09/09	46	23	15	28
147A	07/09/09	17	10	5	11
128	07/10/09	69	31	57	52
129	07/10/09	178	56	30	88
129	07/10/09	32	5	1751	596
129	07/10/09	127	58	26	70
132	07/10/09	76	30	171	92
133	07/10/09	31	7	3	14
133	07/10/09	46	35	23	35
133	07/10/09	27	35	13	25
134	07/10/09	22	38	141	67
135	07/10/09	32	47	194	91
135	07/10/09	30	20	12	21
135	07/10/09	13	17	28	19
143	07/10/09	6	0	1	2
145	07/10/09	152	100	15	89
152	07/10/09	146	33	43	74
156	07/10/09	150	31	343	175
156	07/10/09	14	4	1	6
128	07/13/09	81	69	28	59
129	07/13/09	14	4	64	27
129	07/13/09	10	1	2	4
129	07/13/09	0	0	3	1
131	07/13/09	17	22	16	18
131	07/13/09	15	47	4	22
131	07/13/09	13	11	2	9
131	07/13/09	250	80	80	137
131	07/13/09	119	97	206	141
131	07/13/09	93	89	119	100
134	07/13/09	47	21	19	29
135	07/13/09	21	20	33	25
135	07/13/09	7	15	8	10
135	07/13/09	12	4	4	7
152	07/13/09	37	23	5	22
156	07/13/09	79	34	1	38
156	07/13/09	66	0	0	22
128	07/15/09	286	96	113	165
129	07/15/09	174	464	69	236
129	07/15/09	25	19	5	16
129	07/15/09	18	62	33	38
131	07/15/09	352	117	35	168
131	07/15/09	76	14	6	32
131	07/15/09	5	1	43	16
132	07/15/09	36	34	15	28
133	07/15/09	20	8	7	12
133	07/15/09	42	19	17	26
133	07/15/09	60	7	16	28
153	07/15/09	43	350	216	203
153	07/15/09	42	64	58	55
153	07/15/09	56	35	17	36
154	07/15/09	144	65	19	76
143	07/16/09	227	53	12	97
157	07/16/09	40	15	12	22
159	07/16/09	31	5	2	13
159	07/16/09	16	3	15	11
164	07/16/09	0	0	0	0
164T	07/16/09	1	0	1	1
126	07/17/09	2052	1252	738	1347
127	07/17/09	1240	1484	604	1109
127	07/17/09	71	92	53	72
127	07/17/09	17	16	12	15
134	07/17/09	237	135	91	154
135	07/17/09	65	54	25	48
135	07/17/09	99	101	68	89
135	07/17/09	58	73	30	54
152	07/17/09	138	61	120	106
